t;t_sec;Tamb;PV1;PV2;PV3;SP;PV_prom
Mon Jan 13 17:19:48 2020;104.303;26.450;45.963;45.324;45.792;70.000;45.474
Mon Jan 13 17:19:49 2020;105.119;26.452;46.167;45.528;45.996;70.000;45.682
Mon Jan 13 17:19:50 2020;105.919;26.452;46.167;45.528;45.996;70.000;45.682
Mon Jan 13 17:19:51 2020;106.735;26.455;46.371;45.732;46.200;70.000;45.885
Mon Jan 13 17:19:52 2020;107.550;26.457;46.573;45.935;46.403;70.000;46.089
Mon Jan 13 17:19:52 2020;108.351;26.461;46.774;46.138;46.604;70.000;46.292
Mon Jan 13 17:19:53 2020;109.166;26.461;46.774;46.138;46.604;70.000;46.292
Mon Jan 13 17:19:54 2020;109.967;26.463;46.974;46.340;46.806;70.000;46.495
Mon Jan 13 17:19:55 2020;110.782;26.465;47.175;46.540;47.008;70.000;46.698
Mon Jan 13 17:19:56 2020;111.583;26.466;47.375;46.759;47.227;70.000;46.766
Mon Jan 13 17:19:57 2020;112.398;26.466;47.375;46.759;47.227;70.000;46.901
Mon Jan 13 17:19:57 2020;113.199;26.469;47.591;46.959;47.428;70.000;47.115
Mon Jan 13 17:19:58 2020;114.014;26.470;47.789;47.157;47.628;70.000;47.318
Mon Jan 13 17:19:59 2020;114.815;26.470;47.789;47.157;47.628;70.000;47.318
Mon Jan 13 17:20:00 2020;115.631;26.472;47.987;47.356;47.827;70.000;47.521
Mon Jan 13 17:20:01 2020;116.431;26.474;48.184;47.554;48.025;70.000;47.714
Mon Jan 13 17:20:01 2020;117.246;26.476;48.380;47.751;48.224;70.000;47.911
Mon Jan 13 17:20:02 2020;118.063;26.476;48.380;47.751;48.224;70.000;47.911
Mon Jan 13 17:20:03 2020;118.863;26.479;48.576;47.947;48.422;70.000;48.115
Mon Jan 13 17:20:04 2020;119.679;26.480;48.771;48.142;48.619;70.000;48.307
Mon Jan 13 17:20:05 2020;120.479;26.481;48.964;48.355;48.833;70.000;48.375
Mon Jan 13 17:20:05 2020;121.295;26.481;48.964;48.355;48.833;70.000;48.505
Mon Jan 13 17:20:06 2020;122.095;26.481;49.175;48.550;49.029;70.000;48.708
Mon Jan 13 17:20:07 2020;122.911;26.481;49.367;48.743;49.224;70.000;48.911
Mon Jan 13 17:20:08 2020;123.710;26.481;49.367;48.743;49.224;70.000;48.911
Mon Jan 13 17:20:09 2020;124.527;26.482;49.559;48.936;49.419;70.000;49.104
Mon Jan 13 17:20:09 2020;125.326;26.482;49.750;49.127;49.614;70.000;49.292
Mon Jan 13 17:20:10 2020;126.143;26.482;49.940;49.320;49.807;70.000;49.495
Mon Jan 13 17:20:11 2020;126.942;26.482;49.940;49.320;49.807;70.000;49.495
Mon Jan 13 17:20:12 2020;127.759;26.482;50.130;49.509;50.002;70.000;49.682
Mon Jan 13 17:20:13 2020;128.574;26.482;50.320;49.700;50.194;70.000;49.875
Mon Jan 13 17:20:13 2020;129.375;26.481;50.509;49.907;50.402;70.000;49.938
Mon Jan 13 17:20:14 2020;130.190;26.481;50.509;49.907;50.402;70.000;50.062
Mon Jan 13 17:20:15 2020;130.991;26.481;50.715;50.097;50.596;70.000;50.266
Mon Jan 13 17:20:16 2020;131.806;26.481;50.902;50.286;50.787;70.000;50.464
Mon Jan 13 17:20:17 2020;132.607;26.481;50.902;50.286;50.787;70.000;50.464
Mon Jan 13 17:20:18 2020;133.422;26.478;51.090;50.474;50.977;70.000;50.651
Mon Jan 13 17:20:18 2020;134.223;26.476;51.277;50.662;51.168;70.000;50.839
Mon Jan 13 17:20:19 2020;135.038;26.474;51.463;50.850;51.358;70.000;51.026
Mon Jan 13 17:20:20 2020;135.839;26.474;51.463;50.850;51.358;70.000;51.026
Mon Jan 13 17:20:21 2020;136.654;26.470;51.649;51.037;51.547;70.000;51.214
Mon Jan 13 17:20:22 2020;137.455;26.469;51.836;51.224;51.737;70.000;51.406
Mon Jan 13 17:20:22 2020;138.270;26.468;52.022;51.427;51.943;70.000;51.469
Mon Jan 13 17:20:23 2020;139.086;26.468;52.022;51.427;51.943;70.000;51.594
Mon Jan 13 17:20:24 2020;139.886;26.467;52.224;51.613;52.131;70.000;51.792
Mon Jan 13 17:20:25 2020;140.702;26.464;52.410;51.798;52.318;70.000;51.984
Mon Jan 13 17:20:26 2020;141.502;26.464;52.410;51.798;52.318;70.000;51.984
Mon Jan 13 17:20:26 2020;142.318;26.461;52.595;51.984;52.506;70.000;52.172
Mon Jan 13 17:20:27 2020;143.119;26.460;52.779;52.168;52.692;70.000;52.354
Mon Jan 13 17:20:28 2020;143.934;26.457;52.963;52.352;52.877;70.000;52.536
Mon Jan 13 17:20:29 2020;144.735;26.457;52.963;52.352;52.877;70.000;52.536
Mon Jan 13 17:20:30 2020;145.551;26.453;53.147;52.536;53.064;70.000;52.724
Mon Jan 13 17:20:30 2020;146.351;26.451;53.329;52.720;53.248;70.000;52.911
Mon Jan 13 17:20:31 2020;147.166;26.450;53.513;52.920;53.450;70.000;52.911
Mon Jan 13 17:20:32 2020;147.967;26.450;53.513;52.920;53.450;70.000;53.094
Mon Jan 13 17:20:33 2020;148.782;26.449;53.714;53.102;53.632;70.000;53.281
Mon Jan 13 17:20:34 2020;149.583;26.447;53.896;53.286;53.816;70.000;53.474
Mon Jan 13 17:20:35 2020;150.398;26.447;53.896;53.286;53.816;70.000;53.474
Mon Jan 13 17:20:35 2020;151.215;26.446;54.078;53.468;53.998;70.000;53.661
Mon Jan 13 17:20:36 2020;152.014;26.446;54.260;53.651;54.181;70.000;53.833
Mon Jan 13 17:20:37 2020;152.831;26.443;54.443;53.833;54.362;70.000;54.021
Mon Jan 13 17:20:38 2020;153.630;26.443;54.443;53.833;54.362;70.000;54.021
Mon Jan 13 17:20:39 2020;154.447;26.445;54.625;54.015;54.544;70.000;54.208
Mon Jan 13 17:20:39 2020;155.246;26.443;54.805;54.194;54.725;70.000;54.385
Mon Jan 13 17:20:40 2020;156.063;26.444;54.986;54.392;54.921;70.000;54.385
Mon Jan 13 17:20:41 2020;156.862;26.444;54.986;54.392;54.921;70.000;54.568
Mon Jan 13 17:20:42 2020;157.679;26.443;55.183;54.572;55.103;70.000;54.760
Mon Jan 13 17:20:43 2020;158.478;26.442;55.361;54.752;55.274;70.000;54.943
Mon Jan 13 17:20:43 2020;159.295;26.442;55.361;54.752;55.274;70.000;54.943
Mon Jan 13 17:20:44 2020;160.094;26.443;55.544;54.933;55.461;70.000;55.125
Mon Jan 13 17:20:45 2020;160.911;26.444;55.723;55.112;55.641;70.000;55.302
Mon Jan 13 17:20:46 2020;161.726;26.444;55.900;55.291;55.818;70.000;55.490
Mon Jan 13 17:20:47 2020;162.527;26.444;55.900;55.291;55.818;70.000;55.490
Mon Jan 13 17:20:47 2020;163.342;26.444;56.078;55.470;55.995;70.000;55.661
Mon Jan 13 17:20:48 2020;164.143;26.445;56.254;55.648;56.172;70.000;55.839
Mon Jan 13 17:20:49 2020;164.958;26.445;56.430;55.841;56.365;70.000;55.839
Mon Jan 13 17:20:50 2020;165.759;26.444;56.430;55.841;56.365;70.000;56.021
Mon Jan 13 17:20:51 2020;166.574;26.443;56.624;56.016;56.540;70.000;56.203
Mon Jan 13 17:20:51 2020;167.375;26.443;56.800;56.193;56.715;70.000;56.385
Mon Jan 13 17:20:52 2020;168.190;26.443;56.800;56.193;56.715;70.000;56.385
Mon Jan 13 17:20:53 2020;168.991;26.442;56.976;56.368;56.891;70.000;56.562
Mon Jan 13 17:20:54 2020;169.806;26.441;57.151;56.544;57.065;70.000;56.740
Mon Jan 13 17:20:55 2020;170.607;26.437;57.327;56.719;57.241;70.000;56.911
Mon Jan 13 17:20:56 2020;171.422;26.437;57.327;56.719;57.241;70.000;56.911
Mon Jan 13 17:20:56 2020;172.238;26.437;57.499;56.894;57.414;70.000;57.089
Mon Jan 13 17:20:57 2020;173.038;26.434;57.673;57.069;57.587;70.000;57.260
Mon Jan 13 17:20:58 2020;173.854;26.434;57.847;57.258;57.777;70.000;57.260
Mon Jan 13 17:20:59 2020;174.654;26.432;57.847;57.258;57.777;70.000;57.438
Mon Jan 13 17:21:00 2020;175.470;26.428;58.036;57.432;57.950;70.000;57.620
Mon Jan 13 17:21:00 2020;176.270;26.426;58.209;57.605;58.122;70.000;57.797
Mon Jan 13 17:21:01 2020;177.086;26.426;58.209;57.605;58.122;70.000;57.797
Mon Jan 13 17:21:02 2020;177.886;26.423;58.383;57.779;58.296;70.000;57.969
Mon Jan 13 17:21:03 2020;178.702;26.423;58.555;57.952;58.467;70.000;58.141
Mon Jan 13 17:21:04 2020;179.502;26.422;58.726;58.123;58.639;70.000;58.312
Mon Jan 13 17:21:04 2020;180.318;26.422;58.726;58.123;58.639;70.000;58.312
Mon Jan 13 17:21:05 2020;181.118;26.422;58.898;58.294;58.810;70.000;58.484
Mon Jan 13 17:21:06 2020;181.934;26.422;59.084;58.481;58.997;70.000;58.656
Mon Jan 13 17:21:07 2020;182.750;26.422;59.084;58.481;58.997;70.000;58.656
Mon Jan 13 17:21:08 2020;183.552;26.423;59.256;58.653;59.166;70.000;58.844
Mon Jan 13 17:21:08 2020;184.366;26.424;59.425;58.823;59.336;70.000;59.016
Mon Jan 13 17:21:09 2020;185.166;26.426;59.596;58.993;59.507;70.000;59.188
Mon Jan 13 17:21:10 2020;185.982;26.426;59.596;58.993;59.507;70.000;59.188
Mon Jan 13 17:21:11 2020;186.782;26.427;59.764;59.162;59.675;70.000;59.359
Mon Jan 13 17:21:12 2020;187.598;26.426;59.934;59.332;59.845;70.000;59.526
Mon Jan 13 17:21:13 2020;188.398;26.425;60.116;59.516;60.029;70.000;59.583
Mon Jan 13 17:21:13 2020;189.214;26.425;60.116;59.516;60.029;70.000;59.698
Mon Jan 13 17:21:14 2020;190.014;26.424;60.287;59.685;60.197;70.000;59.880
Mon Jan 13 17:21:15 2020;190.830;26.426;60.452;59.852;60.364;70.000;60.047
Mon Jan 13 17:21:16 2020;191.630;26.426;60.452;59.852;60.364;70.000;60.047
Mon Jan 13 17:21:17 2020;192.446;26.424;60.620;60.019;60.532;70.000;60.214
Mon Jan 13 17:21:17 2020;193.246;26.425;60.788;60.187;60.698;70.000;60.385
Mon Jan 13 17:21:18 2020;194.062;26.424;60.956;60.355;60.866;70.000;60.547
Mon Jan 13 17:21:19 2020;194.878;26.424;60.956;60.355;60.866;70.000;60.547
Mon Jan 13 17:21:20 2020;195.678;26.422;61.136;60.536;61.046;70.000;60.719
Mon Jan 13 17:21:21 2020;196.494;26.421;61.304;60.703;61.214;70.000;60.896
Mon Jan 13 17:21:21 2020;197.294;26.421;61.473;60.870;61.381;70.000;60.896
Mon Jan 13 17:21:22 2020;198.110;26.422;61.473;60.870;61.381;70.000;61.062
Mon Jan 13 17:21:23 2020;198.910;26.422;61.635;61.036;61.544;70.000;61.234
Mon Jan 13 17:21:24 2020;199.726;26.422;61.799;61.202;61.709;70.000;61.396
Mon Jan 13 17:21:25 2020;200.526;26.422;61.799;61.202;61.709;70.000;61.396
Mon Jan 13 17:21:25 2020;201.342;26.421;61.970;61.369;61.876;70.000;61.562
Mon Jan 13 17:21:26 2020;202.142;26.420;62.130;61.547;62.052;70.000;61.734
Mon Jan 13 17:21:27 2020;202.958;26.419;62.320;61.715;62.223;70.000;61.906
Mon Jan 13 17:21:28 2020;203.758;26.419;62.320;61.715;62.223;70.000;61.906
Mon Jan 13 17:21:29 2020;204.574;26.418;62.475;61.877;62.382;70.000;62.078
Mon Jan 13 17:21:30 2020;205.389;26.418;62.647;62.044;62.549;70.000;62.240
Mon Jan 13 17:21:30 2020;206.191;26.418;62.804;62.204;62.706;70.000;62.240
Mon Jan 13 17:21:31 2020;207.005;26.416;62.804;62.204;62.706;70.000;62.406
Mon Jan 13 17:21:32 2020;207.806;26.416;62.967;62.367;62.869;70.000;62.568
Mon Jan 13 17:21:33 2020;208.621;26.414;63.131;62.528;63.030;70.000;62.724
Mon Jan 13 17:21:34 2020;209.422;26.414;63.131;62.528;63.030;70.000;62.724
Mon Jan 13 17:21:34 2020;210.237;26.412;63.287;62.687;63.189;70.000;62.885
Mon Jan 13 17:21:35 2020;211.038;26.411;63.441;62.861;63.359;70.000;63.047
Mon Jan 13 17:21:36 2020;211.853;26.409;63.615;63.020;63.517;70.000;63.161
Mon Jan 13 17:21:37 2020;212.654;26.409;63.615;63.020;63.517;70.000;63.214
Mon Jan 13 17:21:38 2020;213.469;26.407;63.769;63.177;63.673;70.000;63.380
Mon Jan 13 17:21:38 2020;214.270;26.405;63.929;63.338;63.832;70.000;63.536
